sample_accession,attribute_tag,attribute_value
SAMN06606462,authors,"Abhisek R Bera, Vineet Vishal, Pankaj Singh, Sabdar Rahaman and Sayak Ganguli"
SAMN06606462,samp_mat_process,Cool Pack
SAMN06606462,samp_size,10 gram
SAMN06606462,participating_institutes,"Bangabasi Evening College, The Biome and AIIST, PALTA"
SAMN06606462,samp_collect_device,Standard Protocol
SAMN06606462,ncbi_submission_package,Metagenome.environmental.1.0
SAMN06606462,source_material_id,Sample A
SAMN06606462,geo_loc_name,India: West Bengal
SAMN06606462,lat_lon,22.98 N 87.85 E
SAMN06606462,isolation_source,Indian Sunderbans
SAMN06606462,biosamplemodel,Metagenome or environmental
SAMN06606462,ena_first_public,2017-03-27
SAMN06606462,ena_last_update,2021-02-28
SAMN10786231,collection_date,2018-01-19
SAMN10786231,insdc_secondary_accession,SRS4275454
SAMN10786231,ncbi_submission_package,Metagenome.environmental.1.0
SAMN10786231,organism,soil metagenome
SAMN10786231,geo_loc_name,"India: Ghazipur, Uttar Pradesh"
SAMN10786231,lat_lon,25.913824 N 83.529715 E
SAMN10786231,isolation_source,Wheat Rhizosphere
SAMN10786231,biosamplemodel,Metagenome or environmental
SAMN10786231,ena_first_public,2019-11-08
SAMN10786231,ena_last_update,2021-02-28
SAMN11772500,collection_date,2015-10-15
SAMN11772500,insdc_secondary_accession,SRS4791340
SAMN11772500,ncbi_submission_package,Metagenome.environmental.1.0
SAMN11772500,organism,soil metagenome
SAMN11772500,geo_loc_name,India
SAMN11772500,lat_lon,34.49 N 75.49 E
SAMN11772500,isolation_source,soil
SAMN11772500,biosamplemodel,Metagenome or environmental
SAMN11772500,ena_first_public,2020-03-01
SAMN11772500,ena_last_update,2021-02-28
SAMN12139125,collection_date,2017-08-07/2018-01-29
SAMN12139125,insdc_secondary_accession,SRS5152733
SAMN12139125,ncbi_submission_package,Metagenome.environmental.1.0
SAMN12139125,organism,soil metagenome
SAMN12139125,host,NOT APPLICABLE
SAMN12139125,geo_loc_name,India
SAMN12139125,lat_lon,NOT APPLICABLE
SAMN12139125,isolation_source,MAPS SOIL
SAMN12139125,biosamplemodel,Metagenome or environmental
SAMN12139125,ena_first_public,2020-07-26
SAMN12139125,ena_last_update,2021-02-28
